"Age","Benefit","NetSinglePremium","Die","SurviveYears"
31,8049,1173.59410612855,87,56
4,8123,425.530012526273,81,77
66,6244,3183.57431148186,69,3
8,3614,215.969930781484,86,78
63,4642,2168.87412828919,69,6
60,6902,2939.81141103942,88,28
45,8179,2060.39003879034,70,25
64,8470,4076.74437995325,68,4
4,6286,329.297261940188,65,61
84,9607,7294.4461263754,90,6
48,2834,798.392657091204,59,11
14,3972,296.473362828422,83,69
93,8064,6936.28343163078,95,2
99,8984,8556.19047619048,99,0
40,3896,810.320039393987,63,23
48,5461,1538.46940733065,91,43
1,3060,148.204304256822,68,67
37,2864,529.734813588974,42,5
76,1391,909.71465688028,78,2
41,3700,799.969949163578,68,27
16,5936,478.399294562388,74,58
80,2907,2059.89900831729,93,13
49,4079,1192.03978394476,78,29
97,9095,8378.3307812437,98,1
42,2249,505.368586321075,78,36
0,2113,136.567781887618,72,72
52,6702,2181.59025986748,62,10
15,5122,397.22099298319,85,70
82,2426,1781.88678977979,88,6
46,5350,1399.31426949971,88,42
14,1946,145.251048354509,82,68
15,7310,566.904619036923,87,72
40,7876,1638.11104472973,78,38
91,9302,7794.04650326031,93,2
65,9773,4842.85734416936,71,6
13,5822,418.329321731608,75,62
81,4544,3279.31632165506,87,6
96,8740,7897.4749024778,96,0
4,8732,457.432976656336,31,27
11,3333,222.146194930436,75,64
61,6188,2719.75445159703,78,17
36,1181,210.001469114977,76,40
72,7039,4201.21632613526,91,19
52,1060,345.044117496199,62,10
43,6132,1431.76484028365,46,3
79,1156,803.733777677896,88,9
52,2871,934.548737105272,59,7
1,2598,125.828360280792,56,55
27,1370,170.302881192999,67,40
23,5103,541.047309551693,33,10
57,4308,1664.79613663186,68,11
26,1485,177.380879704326,55,29
36,3708,659.344155358455,86,50
33,3352,529.232852958507,78,45
95,3891,3449.19394221785,97,2
8,1609,96.1526338205335,42,34
91,1970,1650.64197069693,94,3
45,2694,678.651517850736,79,34
3,9067,461.528655722931,80,77
99,4026,3834.28571428571,99,0
60,5527,2354.1491841227,71,11
60,9727,4143.08107725013,75,15
66,8665,4417.94865614835,88,22
20,3356,316.089640287456,63,43
54,6088,2125.28191162236,74,20
13,3722,267.437604858304,35,22
40,6418,1334.86499302634,62,22
39,2105,421.094016206448,68,29
49,7376,2155.54926363729,65,16
39,8446,1689.5772260711,77,38
32,2260,342.911564480634,83,51
18,6836,595.358665107666,83,65
61,2366,1039.90611384592,74,13
45,6486,1633.90265210834,77,32
19,4500,407.538356856827,71,52
53,8025,2705.78160433445,68,15
2,8777,435.171494696047,81,79
0,1377,88.9985024416704,64,64
75,5024,3214.81069578342,82,7
86,2102,1645.67170454987,93,7
8,2093,125.076110992154,49,41
5,6122,330.718464140925,67,62
97,4611,4247.66170778611,99,2
60,1729,736.443629337461,89,29
5,8290,447.836665751106,86,81
86,7962,6233.51004358993,87,1
94,1871,1632.33006206843,97,3
27,9577,1190.50415560974,76,49
20,3085,290.56511927497,70,50
1,8535,413.373770206529,63,62
35,7873,1345.67720004327,78,43
46,6608,1728.34928838394,70,24
27,4840,601.65397443366,88,61
96,3442,3110.19549363027,96,0
10,4966,318.977480031182,57,47
21,5052,494.927722939717,73,52
78,3593,2449.40280323817,83,5
98,5325,4992.9415980034,98,0
53,7510,2532.13954499087,80,27
73,3517,2149.90762354598,88,15
81,6867,4955.78018943778,88,7
13,6933,498.158225277437,81,68
98,3366,3156.10167490694,99,1
85,4034,3111.18650791133,90,5
61,5207,2288.58458782575,84,23
21,4453,436.245675029802,79,58
20,6988,658.174733709398,69,49
18,4629,403.147346516002,67,49
1,4920,238.289273510969,73,72
67,6024,3158.23114219942,75,8
20,2128,200.428711123869,89,69
97,5268,4852.89132002109,98,1
23,1555,164.869403557296,73,50
6,5726,319.493755602765,81,75
44,3724,903.29202108716,78,34
16,5579,449.627638875263,65,49
1,9530,461.564385479581,87,86
2,5519,273.63694647687,84,82
59,2084,859.760853616274,70,11
23,9454,1002.3635634924,84,61
57,4165,1609.53479783465,89,32
66,4363,2224.52509945473,79,13
58,3880,1549.61974583057,90,32
24,2387,263.31571040201,78,54
5,6402,345.84443113855,84,79
85,5225,4029.73463159065,92,7
9,1425,88.2518716352865,83,74
17,6256,524.067859463309,43,26
5,4766,257.465566823856,53,48
71,6733,3920.95780766309,87,16
69,5263,2911.90064484845,69,0
20,7915,745.48554912849,84,64
99,1777,1692.38095238095,99,0
90,8262,6833.78298592162,97,7
91,3557,2980.37232983196,92,1
35,5852,1000.24170896141,88,53
91,5575,4671.23298813978,93,2
86,5330,4172.89732885385,92,6
52,5099,1659.79241048408,80,28
37,8597,1590.12925713143,72,35
42,8788,1974.73505406386,83,41
71,8707,5070.51531729132,81,10
32,5186,786.875828936535,81,49
66,4777,2435.60770114491,91,25
83,2180,1628.5353267517,96,13
73,7669,4687.9845223128,94,21
30,3576,501.025208601754,80,50
25,1883,216.137281596532,78,53
0,1538,99.4042823204714,82,82
82,3091,2270.32649101786,82,0
1,5627,272.531248383379,17,16
61,3702,1627.10584676991,64,3
14,2174,162.269156794811,81,67
57,5239,2024.57450320666,62,5
60,8907,3793.81342192525,82,22
83,8861,6619.47317905818,86,3
75,3258,2084.76378321305,86,11
25,2794,320.705026436915,48,23
85,1392,1073.56758032042,96,11
14,9682,722.672482100902,76,62
72,4849,2894.11819369653,72,0
23,2483,263.260918992133,45,22
33,6500,1026.25702393505,83,50
11,4274,284.864337573563,81,70
79,9533,6628.02258010673,82,3
3,3091,157.338157586807,72,69
65,1134,561.935969332656,68,3
93,6188,5322.63416107778,95,2
95,6344,5623.66650460808,97,2
55,7299,2637.02114428051,60,5
76,6249,4086.84895100278,89,13
84,2254,1711.42724772043,91,7
6,4467,249.245303226957,67,61
44,3468,841.196758627893,49,5
16,7217,581.638764969129,25,9
92,1701,1443.80516304378,97,5
23,8747,927.403648177279,91,68
10,3537,227.189558370981,80,70
34,8964,1472.64245001477,84,50
76,3302,2159.50955932328,90,14
76,7736,5059.34765321772,89,13
74,5428,3396.00193743407,79,5
34,6241,1025.29691326887,85,51
92,7154,6072.29990383023,94,2
77,8907,5949.42687527878,81,4
14,3955,295.204468778049,62,48
75,5511,3526.43744913663,85,10
97,6144,5659.86413633439,98,1
